Unnamed: 0,Brand,Model,Price,Location,Engine,Model Year,Fuel Type,Road Trip,Model_Year
218,BMW,BMW G 310 R ,245000,mumbai,310cc,2019,petrol,15000,2019
219,Regal,Regal Raptor Daytona 350 ,239000,mumbai,350cc,2017,petrol,14000,2017
220,Hyosung,Hyosung Aquila Pro GV650 ,535000,mumbai,650cc,2018,petrol,20000,2018
221,Ducati,Ducati Diavel 1200cc ,835000,mumbai,1200cc,2015,petrol,10000,2015
222,Harley-Davidson,Harley-Davidson Fat Boy ,1065000,mumbai,650cc,2016,petrol,15000,2016
223,Royal,Royal Enfield Interceptor 650cc ,265000,mumbai,650cc,2019,petrol,8930,2019
224,Benelli,Benelli TNT 600i ,463500,,600cc,2016,petrol,12400,2016
225,Harley-Davidson,Harley-Davidson 1200 Custom ,721000,mumbai,120cc,2018,petrol,5000,2018
226,Triumph,Triumph Street Twin 900cc ,643750,mumbai,900cc,2017,petrol,11091,2017
227,Kawasaki,Kawasaki Ninja 650cc ,386250,mumbai,650cc,2017,petrol,6243,2017
228,Benelli,Benelli TNT 25 250cc ,115000,hyderabad,25cc,2017,petrol,4965,2017
229,Kawasaki,Kawasaki Ninja 650cc ,463500,hyderabad,650cc,2019,petrol,5700,2019
230,Kawasaki,Kawasaki Ninja 300cc ,231750,mumbai,300cc,2019,petrol,14000,2019
231,Harley-Davidson,Harley-Davidson Iron 883 ,598000,mumbai,883cc,2015,petrol,17000,2015
232,Kawasaki,Kawasaki Versys 650cc ,754000,bangalore,650cc,2020,petrol,3500,2020
233,Royal,Royal Enfield Interceptor 650cc ,260000,mumbai,650cc,2019,petrol,17000,2019
234,Benelli,Benelli TNT 25 250cc ,200000,mumbai,25cc,2016,petrol,2400,2016
235,BenelliImperiale,BenelliImperiale 400 BS6 ,207000,mumbai,400cc,2020,petrol,6500,2020
236,Husqvarna,Husqvarna Vitpilen 401 ,240000,mumbai,401cc,2021,petrol,9700,2021
237,Kawasaki,Kawasaki Ninja 300cc ,301600,mumbai,300cc,2019,petrol,8800,2019
238,Suzuki,Suzuki Hayabusa 1300cc ,1300000,mumbai,1300cc,2017,petrol,13400,2017
239,Kawasaki,Kawasaki Z900 ,988000,mumbai,650cc,2020,petrol,2150,2020
240,Kawasaki,Kawasaki Z650 ,441500,mumbai,650cc,2018,petrol,22950,2018
241,Kawasaki,Kawasaki Z650 ,462300,mumbai,650cc,2020,petrol,13300,2020
242,Triumph,Triumph Street Triple 765 ,805500,mumbai,765cc,2018,petrol,3600,2018
243,Kawasaki,Kawasaki ER-6n 650cc ,285500,mumbai,650cc,2015,petrol,28650,2015
244,Kawasaki,Kawasaki Z800 ,566300,hyderabad,650cc,2015,petrol,10450,2015
245,Royal,Royal Enfield Interceptor 650cc ,254300,bangalore,650cc,2019,petrol,2000,2019
246,BMW,BMW G 310 R ,275100,mumbai,310cc,2019,petrol,11000,2019
247,Benelli,Benelli TNT 600 GT ,425900,mumbai,600cc,2016,petrol,2000,2016
248,Ducati,Ducati Diavel 1200cc ,758700,mumbai,1200cc,2015,petrol,16000,2015
249,Kawasaki,Kawasaki Vulcan S 650cc ,493500,,650cc,2018,petrol,2300,2018
250,Triumph,Triumph Tiger Explorer ,909500,mumbai,650cc,2015,petrol,7000,2015
251,Kawasaki,Kawasaki Ninja 400 ,441500,mumbai,400cc,2019,petrol,9100,2019
252,BMW,BMW G 310 GS BS6 ,269900,mumbai,310cc,2020,petrol,10000,2020
253,Royal,Royal Enfield Interceptor 650cc ,301100,mumbai,650cc,2019,petrol,15000,2019
254,Triumph,Triumph Bonneville T100 900cc ,831500,mumbai,900cc,2020,petrol,21000,2020
255,Triumph,Triumph Street Twin 900cc ,727500,mumbai,900cc,2019,petrol,16000,2019
256,Benelli,Benelli TNT 600i ,597500,mumbai,600cc,2018,petrol,12000,2018
257,Royal,Royal Enfield Continental GT 650cc ,310460,mumbai,650cc,2020,petrol,13000,2020
258,Royal,Royal Enfield Interceptor 650cc ,301100,mumbai,650cc,2019,petrol,13000,2019
259,Royal,Royal Enfield Interceptor 650cc ,244500,mumbai,650cc,2019,petrol,17000,2019
260,Royal,Royal Enfield Interceptor 650cc ,239200,mumbai,650cc,2019,petrol,17000,2019
261,Harley-Davidson,Harley-Davidson 1200 Custom ,728000,mumbai,120cc,2018,petrol,16000,2018
262,Royal,Royal Enfield Interceptor 650cc ,285000,mumbai,650cc,2019,petrol,14000,2019
263,Royal,Royal Enfield Interceptor 650cc ,290000,mumbai,650cc,2019,petrol,18000,2019
264,Royal,Royal Enfield Continental GT 650cc ,300000,mumbai,650cc,2019,petrol,12000,2019
265,Royal,Royal Enfield Continental GT 650cc ,285500,mumbai,650cc,2019,petrol,5500,2019
266,Harley-Davidson,Harley-Davidson Street 750 ABS ,399900,mumbai,750cc,2018,petrol,7000,2018
267,Kawasaki,Kawasaki Ninja 300cc ,233500,mumbai,300cc,2016,petrol,5500,2016
268,Kawasaki,Kawasaki Ninja 650cc ,243900,mumbai,650cc,2013,petrol,13000,2013
269,Harley-Davidson,Harley-Davidson Fat Bob ,625000,bangalore,650cc,2014,petrol,25000,2014
270,Triumph,Triumph Bonneville T100 900cc ,389500,mumbai,900cc,2015,petrol,7500,2015
271,Triumph,Triumph Street Triple 675cc ,467500,mumbai,675cc,2015,petrol,7500,2015
272,Harley-Davidson,Harley-Davidson Street 750 ,425900,bangalore,750cc,2019,petrol,24000,2019
273,Kawasaki,Kawasaki Z900 ,883500,bangalore,650cc,2019,petrol,7500,2019
274,Hyosung,Hyosung Aquila Pro GV650 ,285500,,650cc,2020,petrol,10000,2020
275,BMW,BMW G 310 R ,243900,bangalore,310cc,2019,petrol,4900,2019
276,Benelli,Benelli TNT 600i ,467500,mumbai,600cc,2018,petrol,6300,2018
277,Harley-Davidson,Harley-Davidson Fat Boy ,987500,mumbai,650cc,2014,petrol,7300,2014
278,Kawasaki,Kawasaki Versys 650cc ,649500,mumbai,650cc,2018,petrol,3500,2018
279,Kawasaki,Kawasaki Versys 650cc ,624500,mumbai,650cc,2018,petrol,14000,2018
280,Harley-Davidson,Harley-Davidson Iron 883 ,449500,mumbai,883cc,2014,petrol,3250,2014
281,Royal,Royal Enfield Interceptor 650cc BS6 ,281500,mumbai,650cc,2020,petrol,13000,2020
282,Royal,Royal Enfield Interceptor 650cc ,254500,mumbai,650cc,2019,petrol,3200,2019
283,Royal,Royal Enfield Continental GT 650cc ,305710,mumbai,650cc,2020,petrol,2150,2020
284,Harley-Davidson,Harley-Davidson XG750 750cc ,465500,mumbai,750cc,2018,petrol,11100,2018
285,Kawasaki,Kawasaki Ninja 650cc ,492550,mumbai,650cc,2020,petrol,21500,2020
286,Kawasaki,Kawasaki Ninja 300 ABS ,310900,mumbai,300cc,2019,petrol,15300,2019
287,Royal,Royal Enfield Interceptor 650cc ,243430,mumbai,650cc,2019,petrol,15350,2019
288,BMW,BMW G 310 R ,238240,mumbai,310cc,2018,petrol,3500,2018
289,Harley-Davidson,Harley-Davidson Fat Bob ,726100,mumbai,650cc,2015,petrol,12000,2015
290,Harley-Davidson,Harley-Davidson Iron 883 Standard ,1011000,mumbai,883cc,2022,petrol,13000,2022
291,Kawasaki,Kawasaki Ninja ZX-10R ,1537000,bangalore,650cc,2022,petrol,19000,2022
292,Kawasaki,Kawasaki Ninja ZX-10R ,1537000,bangalore,650cc,2022,petrol,4500,2022
293,Kawasaki,Kawasaki Ninja 300 ,324000,bangalore,300cc,2022,petrol,11000,2022
294,Kawasaki,Kawasaki Ninja 300 ,324000,mumbai,300cc,2022,petrol,5600,2022
295,Kawasaki,Kawasaki Ninja 300 ,324000,hyderabad,300cc,2022,petrol,15000,2022
296,Kawasaki,Kawasaki Ninja 1000 SX ,1151000,mumbai,100cc,2022,petrol,2500,2022
297,Kawasaki,Kawasaki W800 ,733000,mumbai,650cc,2022,petrol,5900,2022
298,BenelliImperiale,BenelliImperiale 400 ,210900,mumbai,400cc,2022,petrol,12000,2022
299,BenelliImperiale,BenelliImperiale 400 ,199000,,400cc,2022,petrol,7000,2022
300,BenelliImperiale,BenelliImperiale 400 ,210900,mumbai,400cc,2022,petrol,24000,2022
301,Harley-Davidson,Harley-Davidson Street 750 ABS ,502687,mumbai,750cc,2019,petrol,17000,2019
302,BMW,BMW G 310 R ,272450,bangalore,310cc,2019,petrol,9000,2019
303,Suzuki,Suzuki Hayabusa 1300cc ,1218562,bangalore,1300cc,2015,petrol,3300,2015
304,Benelli,Benelli TRK 502X ,622000,bangalore,502cc,2019,petrol,9265,2019
305,Ducati,Ducati Monster 797 ,540250,mumbai,797cc,2017,petrol,3400,2017
306,Ducati,Ducati Streetfighter V4 ,2188250,mumbai,650cc,2021,petrol,10000,2021
307,Benelli,Benelli TNT 600i ,463000,mumbai,600cc,2017,petrol,2500,2017
308,Kawasaki,Kawasaki Ninja 400 ,508750,mumbai,400cc,2020,petrol,5000,2020
309,BenelliImperiale,BenelliImperiale 400 BS6 ,207500,mumbai,400cc,2020,petrol,11000,2020
310,Kawasaki,Kawasaki Ninja 300 ,389062,mumbai,300cc,2022,petrol,3500,2022
311,Kawasaki,Kawasaki Z800 ,687000,mumbai,650cc,2016,petrol,20000,2016
312,Triumph,Triumph Bonneville T120 ,1027600,mumbai,650cc,2022,petrol,2900,2022
313,Triumph,Triumph Bonneville T120 ,1027600,mumbai,650cc,2022,petrol,5400,2022
314,Triumph,Triumph Bonneville T120 ,1027600,mumbai,650cc,2022,petrol,19000,2022
315,Triumph,Triumph Bonneville T100 900cc ,917400,mumbai,900cc,2022,petrol,3700,2022
316,Triumph,Triumph Bonneville T100 900cc ,917400,,900cc,2022,petrol,5600,2022
317,Triumph,Triumph Bonneville T100 900cc ,917400,hyderabad,900cc,2022,petrol,12000,2022
318,Triumph,Triumph Bonneville Speedmaster 1200cc ,1163700,hyderabad,1200cc,2022,petrol,12500,2022
319,Triumph,Triumph Bonneville Speedmaster 1200cc ,1163700,hyderabad,1200cc,2022,petrol,7000,2022
320,Triumph,Triumph Bonneville Speedmaster 1200cc ,1163700,hyderabad,1200cc,2022,petrol,4000,2022
321,Kawasaki,Kawasaki Versys 650cc ,715000,hyderabad,650cc,2022,petrol,15000,2022
322,Kawasaki,Kawasaki Z650 ,624000,hyderabad,650cc,2022,petrol,12000,2022
323,Kawasaki,Kawasaki Versys 1000 ,1172000,hyderabad,100cc,2022,petrol,3700,2022
324,Benelli,Benelli TNT 300 ,277500,hyderabad,300cc,2018,petrol,10900,2018
325,Royal,Royal Enfield Interceptor 650cc ,285500,hyderabad,650cc,2020,petrol,5900,2020
326,Royal,Royal Enfield Continental GT 650cc BS6 ,311500,bangalore,650cc,2021,petrol,1700,2021
327,Kawasaki,Kawasaki Z900 ,987500,mumbai,650cc,2020,petrol,35000,2020
328,Kawasaki,Kawasaki Z650 ,467500,mumbai,650cc,2017,petrol,5733,2017
329,BMW,BMW G 310 R ,238125,mumbai,310cc,2019,petrol,4000,2019
330,Triumph,Triumph Tiger 850 Sport ,1452000,mumbai,850cc,2021,petrol,1900,2021
331,BMW,BMW G 310 GS ,284812,mumbai,310cc,2018,petrol,11182,2018
332,Royal,Royal Enfield Interceptor 650cc ,259500,mumbai,650cc,2019,petrol,2500,2019
333,Ducati,Ducati Scrambler Classic ,566500,mumbai,650cc,2016,petrol,5000,2016
334,Royal,Royal Enfield Interceptor 650cc ,250000,bangalore,650cc,2020,petrol,4000,2020
335,BMW,BMW G 310 GS ,300875,mumbai,310cc,2018,petrol,12000,2018
336,Royal,Royal Enfield Continental GT 650cc BS6 ,321625,bangalore,650cc,2021,petrol,12000,2021
337,Royal,Royal Enfield Interceptor 650cc BS6 ,259337,mumbai,650cc,2020,petrol,13800,2020
338,Benelli,Benelli Leoncino 500cc ,404625,,500cc,2020,petrol,8500,2020
339,Kawasaki,Kawasaki Ninja 650cc ,228250,mumbai,650cc,2012,petrol,9600,2012
340,BMW,BMW G 310 R BS6 ,322625,chennai,310cc,2021,petrol,6000,2021
341,Royal,Royal Enfield Continental GT 650cc BS6 ,322625,mumbai,650cc,2021,petrol,7600,2021
342,Kawasaki,Kawasaki Ninja 650cc ,623500,mumbai,650cc,2020,petrol,1250,2020
343,Kawasaki,Kawasaki Ninja 300 ABS ,321625,mumbai,300cc,2019,petrol,19298,2019
344,Royal,Royal Enfield Interceptor 650cc ,260375,mumbai,650cc,2020,petrol,5000,2020
345,Kawasaki,Kawasaki Z900 Standard BS6 ,1011562,mumbai,650cc,2021,petrol,5000,2021
346,Ducati,Ducati SuperSport S ,1417025,mumbai,650cc,2020,petrol,10000,2020
347,Ducati,Ducati Panigale 959 ,1532282,mumbai,959cc,2020,petrol,2900,2020
348,Hyosung,Hyosung Aquila GV250 ,141062,mumbai,650cc,2016,petrol,1300,2016
349,Kawasaki,Kawasaki ER-6n 650cc ,416000,chennai,650cc,2017,petrol,5000,2017
350,Royal,Royal Enfield Interceptor 650cc ,281000,mumbai,650cc,2020,petrol,17500,2020
351,Benelli,Benelli TNT 300 ,228250,mumbai,300cc,2016,petrol,6000,2016
352,Triumph,Triumph Street Triple RS ,1038498,chennai,650cc,2018,petrol,29860,2018
353,Suzuki,Suzuki Hayabusa 1300cc ,1375687,bangalore,1300cc,2017,petrol,20700,2017
354,Harley-Davidson,Harley-Davidson Street Rod ,525000,mumbai,650cc,2018,petrol,31000,2018
355,Kawasaki,Kawasaki Ninja 650cc ,728000,mumbai,650cc,2021,petrol,4200,2021
356,Harley-Davidson,Harley-Davidson Fat Boy ,959690,mumbai,650cc,2015,petrol,10500,2015
357,Harley-Davidson,Harley-Davidson Street 750 ,399438,bangalore,750cc,2018,petrol,8000,2018
358,Royal,Royal Enfield Interceptor 650cc BS6 ,337190,mumbai,650cc,2021,petrol,33000,2021
359,Kawasaki,Kawasaki Ninja 400 ,425375,mumbai,400cc,2018,petrol,28000,2018
360,Royal,Royal Enfield Continental GT 650cc ,295700,mumbai,650cc,2019,petrol,8000,2019
361,Royal,Royal Enfield Interceptor 650cc ,311250,mumbai,650cc,2019,petrol,4300,2019
362,Kawasaki,Kawasaki Ninja 250cc ,175000,mumbai,250cc,2011,petrol,13350,2011
363,Benelli,Benelli TRK 502 ,500000,,502cc,2020,petrol,5000,2020
364,Royal,Royal Enfield Interceptor 650cc ,255000,mumbai,650cc,2019,petrol,24000,2019
365,Kawasaki,Kawasaki Z900 Standard BS6 ,985625,mumbai,650cc,2021,petrol,6500,2021
366,Royal,Royal Enfield Continental GT 650cc ,298000,bangalore,650cc,2020,petrol,8800,2020
367,Royal,Royal Enfield Interceptor 650cc ,259375,hyderabad,650cc,2019,petrol,4500,2019
368,Royal,Royal Enfield Continental GT 650cc ,295690,bangalore,650cc,2019,petrol,8000,2019
369,Royal,Royal Enfield Interceptor 650cc BS6 ,335000,mumbai,650cc,2021,petrol,6000,2021
370,Royal,Royal Enfield Interceptor 650cc ,252000,bangalore,650cc,2019,petrol,15000,2019
371,Royal,Royal Enfield Interceptor 650cc ,260000,mumbai,650cc,2019,petrol,22000,2019
372,Kawasaki,Kawasaki Vulcan S 650cc ,485000,mumbai,650cc,2018,petrol,2500,2018
373,Triumph,Triumph Bonneville T100 865cc ,466875,bangalore,865cc,2016,petrol,10000,2016
374,Triumph,Triumph Street Triple S ,728000,bangalore,650cc,2017,petrol,3500,2017
375,Royal,Royal Enfield Interceptor 650cc ,285315,bangalore,650cc,2019,petrol,6900,2019
376,Kawasaki,Kawasaki ER-6n 650cc ,290500,mumbai,650cc,2015,petrol,11000,2015
377,Royal,Royal Enfield Interceptor 650cc BS6 ,302000,mumbai,650cc,2020,petrol,7000,2020
378,Benelli,Benelli TNT 25 250cc ,150437,mumbai,25cc,2016,petrol,7000,2016
379,Royal,Royal Enfield Interceptor 650cc ,280125,mumbai,650cc,2019,petrol,11000,2019
380,Harley-Davidson,Harley-Davidson Street 750 ,415000,mumbai,750cc,2016,petrol,4000,2016
381,Royal,Royal Enfield Continental GT 650cc ,300875,bangalore,650cc,2019,petrol,14000,2019
382,Royal,Royal Enfield Continental GT 650cc ,321625,hyderabad,650cc,2019,petrol,16000,2019
383,Royal,Royal Enfield Interceptor 650cc ,303850,mumbai,650cc,2019,petrol,21500,2019
384,Harley-Davidson,Harley-Davidson Street 750 ,395000,mumbai,750cc,2015,petrol,11000,2015
385,Royal,Royal Enfield Interceptor 650cc ,315000,mumbai,650cc,2020,petrol,10000,2020
386,Harley-Davidson,Harley-Davidson Street 750 ,450000,mumbai,750cc,2016,petrol,8900,2016
387,Benelli,Benelli TNT 25 250cc ,101675,mumbai,25cc,2016,petrol,14700,2016
388,Kawasaki,Kawasaki Ninja 1000 ,778125,,100cc,2016,petrol,12000,2016
389,Kawasaki,Kawasaki Ninja 650cc ,375000,bangalore,650cc,2014,petrol,1400,2014
390,Harley-Davidson,Harley-Davidson Street 750 ,430562,bangalore,750cc,2018,petrol,14000,2018
391,Kawasaki,Kawasaki Ninja 650cc ,544690,bangalore,650cc,2019,petrol,7800,2019
392,Kawasaki,Kawasaki Z650 ,570625,mumbai,650cc,2020,petrol,9000,2020
393,Kawasaki,Kawasaki Z800 ,595000,mumbai,650cc,2014,petrol,10000,2014
394,Harley-Davidson,Harley-Davidson Iron 883 ,525000,bangalore,883cc,2015,petrol,2800,2015
395,Royal,Royal Enfield Interceptor 650cc BS6 ,295000,mumbai,650cc,2020,petrol,9800,2020
396,Royal,Royal Enfield Interceptor 650cc ,305000,mumbai,650cc,2020,petrol,9800,2020
397,Kawasaki,Kawasaki Z900 ,881875,mumbai,650cc,2019,petrol,9800,2019
398,Royal,Royal Enfield Interceptor 650cc BS6 ,337182,bangalore,650cc,2021,petrol,9800,2021
399,Kawasaki,Kawasaki Ninja 250cc ,109000,bangalore,250cc,2011,petrol,9800,2011
400,Royal,Royal Enfield Interceptor 650cc ,300875,bangalore,650cc,2019,petrol,9800,2019
401,Kawasaki,Kawasaki Ninja 300cc ,269750,bangalore,300cc,2019,petrol,9800,2019
402,Honda,Honda CBR 650 F ,804062,mumbai,650cc,2018,petrol,9800,2018
403,Benelli,Benelli TNT 600i ,518750,mumbai,600cc,2018,petrol,9800,2018
404,Harley-Davidson,Harley-Davidson Super Glide Custom ,518750,mumbai,650cc,2013,petrol,9800,2013
405,Benelli,Benelli TNT 300 ,186750,mumbai,300cc,2015,petrol,9800,2015
406,Honda,Honda CB 1000R ,19000,mumbai,100cc,2017,petrol,9800,2017
407,Harley-Davidson,Harley-Davidson Iron 883 ,570625,mumbai,883cc,2015,petrol,9800,2015
408,Benelli,Benelli TNT 300 ,259375,mumbai,300cc,2017,petrol,9800,2017
409,Harley-Davidson,Harley-Davidson Iron 883 ,674375,mumbai,883cc,2017,petrol,9800,2017
410,Royal,Royal Enfield Continental GT 650cc ,300875,mumbai,650cc,2019,petrol,9800,2019
411,Royal,Royal Enfield Interceptor 650cc ,295687,bangalore,650cc,2019,petrol,9800,2019
412,Kawasaki,Kawasaki Ninja 300 ABS ,300875,mumbai,300cc,2019,petrol,9800,2019
413,Kawasaki,Kawasaki Ninja 300 ABS ,311250,,300cc,2019,petrol,9800,2019
414,Suzuki,Suzuki Intruder M800 ,1193125,mumbai,650cc,2018,petrol,9800,2018
415,Triumph,Triumph Street Triple S ,800000,mumbai,650cc,2018,petrol,9800,2018
416,Triumph,Triumph Street Twin 900cc ,726250,mumbai,900cc,2018,petrol,9800,2018
417,Suzuki,Suzuki Hayabusa 1300cc ,1369500,mumbai,1300cc,2017,petrol,9800,2017
418,Royal,Royal Enfield Interceptor 650cc ,275000,mumbai,650cc,2019,petrol,9800,2019
419,Benelli,Benelli TNT 300 ,180000,mumbai,300cc,2015,petrol,9800,2015
420,Benelli,Benelli TNT 300 ,240000,mumbai,300cc,2017,petrol,9800,2017
421,BMW,BMW G 310 GS ,290000,mumbai,310cc,2018,petrol,9800,2018
422,Kawasaki,Kawasaki Ninja 300cc ,280000,mumbai,300cc,2018,petrol,9800,2018
423,Harley-Davidson,Harley-Davidson Street 750 ,370000,mumbai,750cc,2017,petrol,9800,2017
424,Kawasaki,Kawasaki Z650 ,450000,mumbai,650cc,2018,petrol,9800,2018
425,Royal,Royal Enfield Continental GT 650cc ,295000,mumbai,650cc,2019,petrol,9800,2019
426,Harley-Davidson,Harley-Davidson Iron 883 Standard BS6 ,1011000,mumbai,883cc,2021,petrol,9800,2021
427,Kawasaki,Kawasaki Ninja 650cc ,363125,mumbai,650cc,2017,petrol,9800,2017
428,Kawasaki,Kawasaki Z650 ,466875,mumbai,650cc,2018,petrol,9800,2018
429,Harley-Davidson,Harley-Davidson Street 750 ,337187,mumbai,750cc,2016,petrol,9800,2016
430,Harley-Davidson,Harley-Davidson Iron 883 ,726250,mumbai,883cc,2018,petrol,9800,2018
431,BenelliImperiale,BenelliImperiale 400 BS6 ,207500,mumbai,400cc,2020,petrol,9800,2020
